name,desc
Anduril,"Flame of The West The sword re-forged from Narsil (""The Sword that was Broken"") for Aragorn"
Andví­r,Man
Andwise Roper,Hobbit 
Andúnië,"Andustar The first capital and main port, facing west"
Anfalas,Langstrand Gondor Province of Gondor
Anfauglir,Carcharoth Great wolf of Angband
Anfauglith,Dor-nu-Fauglith Gasping Dust. The desolated plain of Ard-galen following the Battle of Sudden Flame
Angainor,Aule's chain which bound Melkor
Angamaitë,Man
Angband,"Iron Prison Morgoth's second citadel, north of Ard-Galen, to guard against the Valar"
Angbor,"Lord of Lamedon Gondor Leader, siege of Gondor; rode from Pelargir with Aragorn Man"
Angelica Baggins,Hobbit
Angelimir,Man
Anghabar,Iron Delvings Iron mine in the northern mountains round Gondolin
Anglachel,"Gurthang Elwe's sword, made by Eol, given to Beleg then reforged for Turin"
Angrenost,"Isengard Rohan The former Numenorean fortress taken over by Saruman, guarding the tower of Orthanc"
Angrim,Man 
Angrist,Iron Cleaver Knife from Nogrod used by Beren to prise a Silmaril from Morgoth's crown
Angrod,Elf 
Anguirel,"Eol's sword, also of black meteoric iron"
Annael,"Elf Tuor's foster-father, a Grey-elf, Mithrim"
Annon-in-Gelydh,Gate of the Noldor The secret pass of Cirith Ninniach between Nevrast and Dor-Lomin
Anorien,"Gondor Province of Gondor north of the Ered Nimrais, bounded by the Mering Stream, Entwash & Anduin Province north of the Ered Nimrais, bounded by the Mering Stream, Entwash and Anduin"
Anson Roper,Hobbit
Anárion,Man
Ar-Adunakhor,Tar-Herunumen s. of Tar-Ardamin  Numenor 19th King of Numenor Tar-Herunumen s. of Tar-Ardamin 19th King of Numenor
Ar-Adûnakhôr,Man
Ar-Gimilzôr,Man
Ar-Pharazon,Tar-Calion s. of Gimilkhad 24th and Last King of Numenor Died trying to invade Valinor Tar-Calion s. of Gimilkhad m. Miriel Numenor 24th and Last King of Numenor Died trying to invade Valinor
Ar-Pharazôn,Man
Ar-Sakalthor,Tar-Falasion s. of Ar-Zimrathon  Numenor 21st King of Numenor Tar-Falassion s. of Ar-Zimrathon 21st King of Numenor
Ar-Sakalthôr,Man
Ar-Zimrathôn,Man
Arachon,Man
Arador,Man s. of Argonui  Dunedain 14th Chief of the Dunedain s. of Argonui 14th Chief of the Dunedain.   Killed by Trolls
Araglas,Man s. of Aragorn  Dunedain 6th Chief of the Dunedain s. of Aragorn 6th Chief of the Dunedain
Aragorn,"Strider, Elessar, Estel Dunedain Son of Arathorn and Gilraen. Heir of Elendil and Isildur to the thrones of Gondor and Arnor. The Dunedan (Chief of the Dunedain). (Elessar = Elfstone. Estel = Hope)"
Aragorn I,Man s. of Aravir  Dunedain 5th Chief of the Dunedain Killed by wolves s. of Aravir 5th Chief of the Dunedain.   Killed by wolves
Aragorn II,"Man s. of Arathorn & Gilraen m. Arwen Dunedain 16th & last Chief of The Dunedain. King of Gondor & Arnor s. of Arathorn and Gilraen 16th and last Chief of The Dunedain,"
Aragorn II Elessar,Man
Aragost,Man s. of Arahad  Dunedain 8th Chief of the Dunedain s. of Arahad 8th Chief of the Dunedain
Arahad I,Man s. of Araglas  Dunedain 7th Chief of the Dunedain s. of Araglas 7th Chief of the Dunedain
Arahad II,Man s. of Aravorn  Dunedain 10th Chief of the Dunedain s. of Aravorn 10th Chief of the Dunedain
Arahael,Man s. of Aranarth  Dunedain 2nd Chief of the Dunedain s. of Aranarth 2nd Chief of the Dunedain
Aranarth,Man s. of Arvedui & Firiel  Dunedain 1st Chief of the Dunedain s. of Arvedui and Firiel 1st Chief of the Dunedain
Arantar,Man s. of Eldacar  Arnor 5th King of Arnor
Aranuir,Man s. of Arahael  Dunedain 3rd Chief of the Dunedain s. of Arahael 3rd Chief of the Dunedain
Aranwë,Elf
Araphant,Man s. of Araval  Arthedain 14th King of Arthedain s. of Araval 14th King of Arthedain
Araphor,Man s. of Arveleg  Arthedain 9th King of Arthedain s. of Arveleg 9th King of Arthedain
Arassuil,Man s. of Arahad  Dunedain 11th Chief of the Dunedain s. of Arahad 11th Chief of the Dunedain
Aratan,Man
Arathorn,"Dunedain Father of Aragorn and Chief of the Dunedain; wife Gilraen. Killed by Orcs when Aragorn was 2, leaving him in the care of Elrond and Gilraen"
Arathorn I,Man s. of Arassuil  Dunedain 12th Chief of the Dunedain s. of Arassuil 12th Chief of the Dunedain
Arathorn II,Man s. of Arador 15th Chief of the Dunedain.   Killed by orcs s. of Arador m. Gilraen Dunedain 15th Chief of the Dunedain Killed by Orcs
Aratir,"2nd s. of Isildur & Vorondome  Arnor  Killed by Orcs, Gladden Fields"
Araval,Man s. of Arveleg  Arthedain 13th King of Arthedain s. of Arveleg 13th King of Arthedain
Aravir,Man s. of Aranuir  Dunedain 4th Chief of the Dunedain s. of Aranuir 4th Chief of the Dunedain
Aravorn,Man s. of Aragost  Dunedain 9th Chief of the Dunedain s. of Aragost 9th Chief of the Dunedain
Archet,Eriador Village near Bree
Arciryas,2nd s. of Telumehtar 2nd s. of Telumehtar  Gondor Man
Ard-Galen,"Anfauglith Fair northern plain, until the Dagor Bragollath, after which it was dominated by Morgoth"
Ardamir,Man
Aredhel,Ar-Feiniel The White Lady of Gondolin Elf
Argeleb I,Man s. of Malvegil  Arthedain 7th King of Arthedain s. of Malvegil 7th King of Arthedain
Argeleb II,Man s. of Araphor  Arthedain 10th King of Arthedain s. of Araphor 10th King of Arthedain
Argon,Elf
Argonath,"Pillars of the Kings Anduin Gorge on the Anduin with stone carvings of Isildur & Anarion, marking the approximate northern border of Gondor"
Argonui,Man s. of Arathorn  Dunedain 13th Chief of the Dunedain s. of Arathorn 13th Chief of the Dunedain
Arien,"Ainur Maiden who guides Anar, The Sun. A fiery Valarauko who ignored Melkor"
Arkenstone,"Heart of The Mountain. Stone of Thrain, coveted by Thorin."
Arminas,Elf
Arnor,"Arnor Former Northern Kingdom of the Dunedain, stetching from east of Lindon (the River Luin) to the Hoarwell/Greyflood, so only slightly smaller than the Elven realm of Eriador. Later split into Arthedain, Cardolan & Rhudaur"
Arod,"Horse of Rohan, ridden by Legolas and Gimli"
Aros,"River flowing south round Doriath, joining the Sirion at Aelin-Uial"
Arossiach,"Crossings of Aros Ford across the Aros, Dor-Dinen"
Artamir,Man 
Arthad,"Beor  Killed with Barahir, Dorthonion Man"
Arthedain,"Arnor North-western Kingdom of the Dunedain, between the Luin & Baranduin plus the lands north of the Great Road as far as Amon Sul"
Arvedui,"Man s. of Araphant 15th and Last King of Arthedain. Claimant via Firiel to the Kingship of Gondor. s. of Araphant m. Firiel Arthedain 15th & Last King of Arthedain. Drowned, Bay of Forochel"
Arvegil,Man s. of Argeleb  Arthedain 11th King of Arthedain s. of Argeleb 11th King of Arthedain
Arveleg I,Man s. of Argeleb  Arthedain 8th King of Arthedain s. of Argeleb 8th King of Arthedain
Arveleg II,Man s. of Arvegil  Arthedain 12th King of Arthedain s. of Arvegil 12th King of Arthedain
Arvernien,Southern region of West Beleriand
Arwen,"Elf Half-elven,Men Undomiel Mortal. The Evenstar of her people Undomiel d. of Elrond & Celebrian m. Aragorn II Mortal Queen of Gondor and Arnor Died in Lothlorien"
Ascar,"Rathloriel Tributary of the Gelion, Ossiriand. The Golden Bed of the treasures of Doriath Tributary of the Gelion, Ossiriand. The Golden Bed of the treasures of Doriath"
Asfaloth,"Glorfindel's horse, Rivendell"
Asgon,Man 
Asphodel Brandybuck,Hobbit
Atanalcar,Man
Atanatar I,Man s. of Turambar  Gondor 10th King of Gondor s. of Turambar 10th King of Gondor
Atanatar II,Alcarin s. of Hyarmendacil  Gondor 16th King of Gondor Alcarin s. of Hyarmendacil 16th King of Gondor Man
Athelas,Kingsfoil Healing plant used by the King of Gondor
Aulendil,Man
Aulë,"Ainur Loves lands and forms, smithying and crafts. Created the Dwarves"
Avallónë,"Chief city of Tol Eressëa, facing west to the Calacirya. Destination of ships leaving Middle-earth"
Avathar,"Dark, narrow, forgotten land south-east of Valinor, outside the Pelóri"
Avranc,Man
Axantur,Man
Azaghal,"Dwarf-Lord of Belegost. Killed by Glaurung, Nirnaeth Arnoediad"
Azaghál,"Dwarf-Lord of Belegost. Killed by Glaurung, Nirnaeth Arnoediad"
Azaghâl,Dwarf
Azanulbizar,Nanduhirion Misty Mts Area east of Khazad-dum including the Kheled-zaram. Site of the last battle in the War of Dwarves & Orcs
Azog,Orc who killed Thror in Moria. Later killed by Dain Orcs
Bain,"Dale King of Dale, below Erebor. Son of Bard I; father of Brand Man"
Balar,Bay at the Mouths of Sirion Cape at the west of the Bay of Balar Tol Balar Island in the Bay of Balar
Balbo Baggins,Hobbit
Balchoth,"The Horrible Horde, kin of the Wainriders, who invaded Gondor during the rule of Cirion. Driven out by the Eorlingas"
Baldor,Man 
Balin,Dwarf s. of Fundin One of Bilbo's Company . Killed by Kheled-zâram trying to re-establish Khazad-Dûm
Balrog,"Durin's Bane A Valarauka, which hid under the Misty Mountains at the end of the First Age until the Dwarves dug too deep in Khazad-Dum"
Balrogs,Valaraukar Spirits of Fire who became adherents of Melkor. Most perished in the War of Wrath Valaraukar spirits of Fire who became followers of Melkor. Most perished at the end of the First Age
Bandobras Took,Hobbit
Bane of Isildur,"The One Ring, which he should have destroyed"
Bar-en-Danwedh,House of Ransom The halls of Mim under Amon Rudh
Barach,Haladin Forester of the Folk of Haleth; saved by a Drug's watch-stone
Barad Eithel,"Tower of the Well Fortress above Eithel Sirion in the Ered Wethrin, Ard-Galen"
Barad-Dur,Lugburz Mordor Sauron's Dark Tower and capital Lugburz Mordor Sauron's Dark Tower in Mordor
Baragund,"Man s. of Bregolas  Beor  Killed with Barahir, Dorthonion s. of Bregolas Resisted with Barahir in Dorthonion Killed defending Dorthonion"
Barahir,"Gondor Grandson of Faramir, Steward of Gondor Man s. of Bregor Saved Finrod. Led the resistance in Dorthonion Killed defending Dorthonion s. of Bregor m. Emeldir Beor Saved Finrod. Resisted in Dorthonion Killed, Dorthonion"
Baran,Man s. of Beor  Beor Leader of the House in Estolad s. of Beor Leader of the House in Estolad
Baranduin,Brandywine Eriador River running from Lake Evendim south through The Shire
Baranor,Man
Barazinbar,"Caradhras, Redhorn Misty Mts One of the Mountains of Moria. Normally passable via the Redhorn Gate"
Bard,Man
Bard I,"Man The Bowman Dale Captain of the Guard, Esgaroth, then Lord of Dale. Descendent of Girion; father of Bain"
Bard II,Dale Son of Brand. King of Dale after his father was killed fighting orcs Man
Bardings,"Men of Dale, under Bard"
Barliman Butterbur,Man
Barrow Downs,"Tyrn Gorthad Eriador Downs east of the Old Forest, south-west of Bree. Site of Cardolan's capital & ancient burial mounds Tyrn Gorthad Eriador Downs east of the Old Forest, south-west of Bree. Site of Cardolan's capital and ancient burial mounds"
Barrow-wights,Wights Evil spirits haunting the burial mounds of Numenorean warriors on the Barrow-Downs at Tyrn Gorthad
Basso Boffin,Hobbit
Beechbone,An Ent burned by Saruman at Isengard Ents
Belba Baggins,Hobbit
Beldir,Man
Beldis,Man m. Handir Haladin
Belecthor I,Man
Belecthor II,Man
Beleg,"Cuthalion Strongbow. Captain of the Marches, Doriath. Elf Man s. of Amlaith  Arthedain 2nd King of Arthedain s. of Amlaith 2nd King of Arthedain"
Beleg of Arnor,Man
Belegaer,Great Sea The western ocean between Beleriand/Middle-earth and Aman The western ocean between Beleriand/Middle-earth and Aman
Belegor,Man
Belegorn,Man
Belegost,"Great Fortress Mickleburg, northern of the two Dwarf Halls in the Ered Luin"
Belegund,"Man s. of Bregolas  Beor  Killed with Barahir, Dorthonion s. of Bregolas Resisted with Barahir in Dorthonion Killed defending Dorthonion"
Belemir,Man
Belen,Man
Beleth,Man
Belfalas,"Gondor Southern province, east of the Mouths of Anduin"
Bell Goodchild,Hobbit
Belladonna Took,Hobbit
Beor,"The Old, Balan   Beor Head of the House of Beor Died in Nargothrond"
Beorn,Carrock Skin-changer; could turn into a bear. Lived West of Mirkwood at The Carrock. Father of Grimbeorn Man Skin-changer
Beornings,Offspring or kinfolk of Beorn
Bereg,Man s. of Boron  Beor Lead a thousand Men south from Beleriand s. of Boron Lead a thousand Men south from Beleriand   Not heard of again
Beregar,Man m. Nuneth Numenor Of the House of Beor. Father of Erendis
Beregond,"Gondor Soldier, Third Company, Citadel Guard. Son of Baranor. Father of Bergil; brother of Iorlas. Later Captain of the White Company, Ithilien Man"
Berelach,Man
Beren,Erchamion s. of Barahir & Emeldir Took a Silmaril from Morgoth Killed by Carcharoth. Only mortal to return from the Dead Erchamion s. of Barahir & Emeldir m. Luthien Beor Took a Silmaril from Morgoth Killed by Carcharoth Man
Berenhardt,Man
Bergil,"Gondor Son of Beregond, Minas Tirith Man"
Beril,Man
Berilac Brandybuck,Hobbit 
Beruthiel,m. Tarannon Gondor Sea-hating Queen with nine cats used as spies Set adrift with the cats by Tarannon
Berylla Boffin,Hobbit
Berúthiel,Man
Bifur,Dwarf One of Bilbo's Company
Bilbo Baggins,"Hobbit Hobbit of Bag End, Hobbiton. Finder of The Ring. Son of Bungo & Belladonna (née Took)"
Bilbo Gardner,Hobbit 
Bill,"Pony from Bree, befriended by Sam William Huggins"
Bill Ferny,"Bree Saruman's spy, Bree and The Shire Man"
Bingo Baggins,Hobbit 
Black Serpent,Man
Blackroot Vale,Lands in the valley of the River Morthond Morthond Vale Gondor Valley of the Morthond below the Ered Nimrais
Bladorthin,Man
Blanco,Hobbit
Blanco Bracegirdle,Hobbit
Bliss of Valinor,The period between the flowering of the Two Trees and their destruction
Bob,Hobbit
Bodo Proudfoot,Hobbit 
Bofur,Dwarf One of Bilbo's Company 
Bolg,"Goblin,Orc Son of Azog. Leader of the Goblins/Orcs of Mt Gunabad. Slain by Beorn, Battle of Five Armies "
Bombur,Dwarf
Bor,"Bor Led his people to Beleriand Sons fought against Morgoth Led his people to Beleriand at Morgoth's suggestion Sons followed Maedhros & Maglor, and fought against Morgoth"
Borin,Dwarf Dwarven
Borlach,"Man s. of Bor  Bor Fought against Morgoth Killed, Nirnaeth Arnoediad s. of Bor the Nirnaeth Arnoediad (Battle of"
Borlad,"Man s. of Bor  Bor Fought against Morgoth Killed, Nirnaeth Arnoediad s. of Bor Killed in the 5th Battle of Beleriand,"
Borlas,Man
Boromir,Man
Boron,Man s. of Baran s. of Baran  Beor
Borondir,Gondor The only rider sent by Cirion the Steward to reach the Eotheod. Descended from a Captain of the Northmen Man
Borthand,Man
Borthandi,"s. of Bor  Bor Fought against Morgoth Killed, Nirnaeth Arnoediad s. of Bor Unnumbered Tears)"
Bosco Boffin,Hobbit
Bowman Cotton,Hobbit
Brand,Dale King of Dale. Son of Bain; father of Bard II. Killed with King Dain (of the northern Dwarves) fighting orcs at Dale Man
Brandir,Man The Lame s. of Handir & Beldis  Haladin Lord of Brethil. Loved Nienor Killed by Turin
Bree,Eriador Village east of The Shire on the Great East Road
Bregalad,Ents Quickbeam A hasty Ent
Bregil,Man
Brego,Man
Bregolas,"Man s. of Bregor  Beor Lord of Ladros Killed, Dagor Bragollach s. of Bregor Lord of Ladros Killed in the Dagor Bragollach"
Bregor,Man s. of Baran  Beor Lord of Ladros s. of Baran Lord of Ladros
Brethil,"Forest between the Teiglin and Sirion to the west of Doriath, in which the Haladin found refuge"
Briffo Boffin,Hobbit 
Brilthor,"Glittering Torrent Tributary of the Gelion, Ossiriand Tributary of the Gelion, Ossiriand"
Brithiach,"Crossing of the Sirion, Brethil"
Brithon,River flowing to the sea at Brithombar
Brodda,"Man Married Aerin of Hador, Hithlum. Killed by Turin Ulfang Easterling, Hithlum. Married Aerin Slain by Turin "
Brown Lands,"Rhovanion Desolated area between Mirkwood & Emyn Muil, east of Anduin, where the Entwives were last seen"
Bruinen,"Loudwater Eriador River flowing from the Misty Mountains near Rivendell, crossed at the Ford. Joins the Hoarwell"
Bruno Bracegirdle,Hobbit
Brytta,Man
Brytta Léofa,Man
Bucca of the Marish,Hobbit
Buckland,"Shire Hobbit area east of The Shire, adjoining the Old Forest"
Buffo Boffin,Hobbit
Bundushathur,"Fanuidhol, Cloudyhead Misty Mts One of the Mountains of Moria"
Bungo Baggins,Hobbit
Bywater,The Water Shire River flowing east via the Bywater Pool through The Shire to the Brandywine
Bëor,Man
Bór,Man
Cabed-en-Aras,"Deer Leap Narrow gorge of the Teiglin, where Turin slew Glaurung"
Cair Andros,Anduin Island in the Anduin held by Gondor
Calacirya,Gap in the Pelóri made to allow the Light of The Trees to shine on Tirion and the Bay of Eldamar
Calanhad,"Gondor Beacon hill, Ered Nimrais"
Calenardhon,"Rohan Rohan Former northern province of Gondor bounded by the Ered Nimrais, Adorn, Isen, Misty Mts, Limlight, Anduin & Mering Stream. Given to the Eorlingas in return for their help"
Calimehtar,Man
Calimendi,Man
Calimmacil,Man 
Caliondo,Man
Calmacil,Man
Camellia Sackville,Hobbit
Captains of The West,"Leaders of the combined armies of Gondor & Rohan. Aragorn, Eomer, Faramir, Prince Imrahil, Gandalf"
Caradhras,"Barazinbar, The Cruel, Redhorn Misty Mts One of the Mountains of Moria. Normally passable via the Redhorn Gate"
Caragdur,High rock on the north of Gondolin
Caranthir,Elf 
Caras Galadhon,Lorien City of the Galadhrim; home of Celeborn & Galadriel
Carcharoth,"Red Maw, Anfauglir Wolf of Angband, offspring of Draugluin. Took Beren's hand. Killed and killed by Huan Werewolves"
Carchost,"Red Tooth Mordor One of the two Towers of the Teeth, Morannon gate"
Cardolan,"Arnor South-eastern Kingdom of the Dunedain, between the Greyflood, Baranduin & Great Road, with its capital at Tyrn Gorthad on the Barrowdowns"
Carl,Hobbit
Carl Cotton,Hobbit 
Carn Dum,"Angmar The former base of the Lord of the Nazgul in Angmar, at the northern end of the Misty Mountains Angmar The former base of the Lord of the Nazgul, at the northern end of the Misty Mountains"
Carnen,Redwater Rhun River flowing south from the Iron Hills. Joins the Celduin
Carnil,A red Star A star made by Varda Elentari
Carrock,"Anduin Rock in the middle of the Anduin, near Boern's home"
Castamir,Man
Castamir the Usurper,Man
Celandine Brandybuck,Hobbit
Celduin,River Running Rhovanion River flowing from the Long Lake to the Sea of Rhun
Celebdil,"Zirakzigil, The White, Silvertine Misty Mts One of the Mountains of Moria"
Celeborn,"Elf Seedling of Galathilion, planted on Tol Eressea Teleporno A Prince of Doriath. Lord of Lothlorien"
Celebrant,"Rhovanion Area between the rivers Celebrant & Limlight. Site of the battle to which the Rohirrim rode from the North to aid Gondor, after which they were given Calenardhon (Rohan) Silverlode, Lorien River flowing from Mirrormere / Kheled-zaram through Lothlorien"
Celebrimbor,Elf
Celebrindor,Man
Celebros,Stream flowing through Brethil. Joins the Teiglin
Celebrían,Elf
Celegorm,Elf 
Celepharn,Man s. of Mallor  Arthedain 4th King of Arthedain s. of Mallor 4th King of Arthedain
Celon,River flowing south through Himlad. Joins the Aros
Cemendur,Man
Ceorl,Man Rohan A Rider of the Westfold
Chetwood,Eriador Woods north of Bree
Chica Chubb,Hobbit
Cirdan,The Shipwright Lord of Falas and the Grey Havens
Ciril,Gondor River flowing into the Ringlo in Lamedon
Cirion,Man
Cirith Forn en Andrath,"High Pass, Pass of Imladris Misty Mts High pass through the Misty Mountains. Part of the East-West road"
Cirith Gorgor,Haunted Pass Mordor Defile between the mountain ridges closed by Morannon gate
Cirith Ninniach,"Rainbow Cleft Pass between Dor-Lomin and Nevrast, near the Firth of Drengist"
Cirith Thoronath,Eagles' Cleft Pass into the mountains north of Gondolin
Cirith Ungol,Cirith Duath Mordor High pass through the Ephel Duath close by Minas Morgul. Guarded by Shelob
Ciryandil,"Man s. of Earnil  Gondor 14th King of Gondor Killed in battle, Harad s. of Earnil 14th King of Gondor Killed in battle in Harad"
Ciryatur,Man
Ciryon,"3rd s. of Isildur & Vorondome  Arnor  Killed by Orcs, Gladden Fields Man"
Cora Goodbody,Hobbit 
Cotman,Hobbit
Cottar,Hobbit 
Council of Elrond,Meeting at Rivendell to decide what to do with The Ring. Attended by:
Court of The Fountain,Gondor Courtyard on the upper (7th) circle of Minas Tirith's Citadel. Its fountain feeds the Withered Tree / The White Tree
Crack of Doom,"Sammath Naur Mordor The volcanic ""Chamber of Fire"" reached via a tunnel in Orodruin, in which The One Ring was forged"
Crebain,"Black crows, from Dunland, near Orthanc"
Crissaegrim,Jagged peaks of the southern Echoriath. Home of Thorondor
Cuivenen,Bay in Helcar in the far East where the Elves awoke Waters of Awakening Bay in Helcar in the far East where the Elves awoke
Curufin,Elf 
Curunír,The White The oldest Unknown until his arrival in Middle-earth as the senior of the Istari
Cwén,Man
Círdan,Elf
Daeron,Elf The Minstrel Chief loremaster of Doriath. Inventor of Runes
Dagnir,"Beor  Killed with Barahir, Dorthonion Man"
Dagor Aglareb,Glorious Battle The third Battle of Beleriand
Dagor Bragollach,Battle of Sudden Flame The fourth Battle of Beleriand
Dagor Dagorath,"The Last Battle The final battle between Good and Evil, yet to come"
Dagor-nuin-Giliath,Battle under The Stars The second Battle of Beleriand
Dagorlad,Battle Plain Rhovanion Site of the final battle of the Last Alliance (Second Age) & battles between Gondor & Easterlings
Dain Ironfoot,s. of Nain From the Iron Hills. Slew Azog in Moria. King under The Mountain on Thorin's death . Killed fighting orcs with King Brand of Dale
Dairuin,"Beor  Killed with Barahir, Dorthonion Man"
Daisy Baggins,Hobbit
Daisy Gamgee,Hobbit 
Daisy Gamgee I,Hobbit
Daisy Gardner,Hobbit
Dale,Rhovanion Town of northern Men below Mount Erebor
Damrod,Man
Dead Marshes,"Rhovanion Marshland between Emyn Muil & North Ithilien. The western part of the Dagorlad, where many combatants died a watery death Rhovanion Marshland between Emyn Muil and North Ithilien. The western part of the Dagorlad, where many combatants died a watery death"
Deagol,"A Stoor, living East of the Misty Mountains. Killed by Smeagol when he happened upon The One Ring in the river"
Death Down,"Rohan Grave of the orcs who perished at Helm's Deep, piled high & covered by the Ents"
Deeping Stream,"Rohan Stream running through Deeping Coomb past the Hornburg, Helm's Deep"
Denethor,Elf Leader of the Nandor who crossed into Ossiriand Steward of Gondor Gondor Last Steward of king-less Gondor. Wife Finduilas; father of Boromir and Faramir; son of Ecthelion
Denethor I,Man
Denethor II,Man
Deorwine,Rohan Chief of Theoden's Knights. Slain at the siege of Mundburg
Derndingle,Fangorn Circular clearing in Fangorn Forest. Site of the Entmoot
Derufin,"Gondor Son of Duinhir of Morthond. Slain with his brother, Duilin, at the siege of Gondor Man"
Dervorin,"Lord of Ringlo Vale Gondor Leader, siege of Gondor Man"
